"","d$nombre_act","d$latitud","d$longitud"
"118","Bufetes jurídicos",19.39376047,-99.17204621
"119","Bufetes jurídicos",19.39743671,-99.17140783
"120","Bufetes jurídicos",19.39762996,-99.1710382
"121","Bufetes jurídicos",19.40694263,-99.16144141
"122","Bufetes jurídicos",19.40694263,-99.16144141
"123","Bufetes jurídicos",19.43316731,-99.13954582
"124","Bufetes jurídicos",19.386937,-99.13879028
"125","Bufetes jurídicos",19.43298669,-99.14115257
"126","Bufetes jurídicos",19.39975964,-99.16895995
"127","Bufetes jurídicos",19.43118594,-99.13598186
"128","Bufetes jurídicos",19.42147547,-99.15905183
"129","Bufetes jurídicos",19.41919376,-99.16260041
"130","Bufetes jurídicos",19.4234499,-99.155896
"131","Bufetes jurídicos",19.43356272,-99.13689612
"132","Bufetes jurídicos",19.43333293,-99.21027578
"133","Bufetes jurídicos",19.42550296,-99.15357223
"134","Bufetes jurídicos",19.39206645,-99.14867254
"135","Bufetes jurídicos",19.41465289,-99.16513387
"136","Bufetes jurídicos",19.39105613,-99.16593325
"137","Bufetes jurídicos",19.39579031,-99.15818
"138","Bufetes jurídicos",19.38859858,-99.16859028
"139","Bufetes jurídicos",19.40806658,-99.17245281
"140","Bufetes jurídicos",19.40963533,-99.16945371
"141","Bufetes jurídicos",19.41816944,-99.14787308
"142","Bufetes jurídicos",19.39743671,-99.17140783
"143","Bufetes jurídicos",19.36836431,-99.17619205
"144","Bufetes jurídicos",19.42918812,-99.15223656
"145","Bufetes jurídicos",19.39410978,-99.17217911
"146","Bufetes jurídicos",19.39360613,-99.17683372
"147","Bufetes jurídicos",19.42112785,-99.20461449
"148","Bufetes jurídicos",19.40580484,-99.16484603
"149","Bufetes jurídicos",19.39486195,-99.17422761
"150","Bufetes jurídicos",19.39554723,-99.17423337
"151","Bufetes jurídicos",19.4380032,-99.19078437
"152","Bufetes jurídicos",19.41187086,-99.14446896
"153","Bufetes jurídicos",19.38612995,-99.17363257
"154","Bufetes jurídicos",19.37860393,-99.16306446
"155","Bufetes jurídicos",19.36539408,-99.19068493
"156","Bufetes jurídicos",19.42121547,-99.20336934
"157","Bufetes jurídicos",19.38804927,-99.16469661
"158","Bufetes jurídicos",19.43390893,-99.15804004
"159","Bufetes jurídicos",19.43601799,-99.18873929
"160","Bufetes jurídicos",19.42719578,-99.16364366
"161","Bufetes jurídicos",19.39688159,-99.17519064
"162","Bufetes jurídicos",19.43825527,-99.20371341
"163","Bufetes jurídicos",19.43669623,-99.18554317
"164","Bufetes jurídicos",19.4300644,-99.16857782
"165","Bufetes jurídicos",19.40588846,-99.16603394
"166","Bufetes jurídicos",19.40151852,-99.16981705
"167","Bufetes jurídicos",19.40412477,-99.16726394
"168","Bufetes jurídicos",19.42245279,-99.14698092
"169","Bufetes jurídicos",19.42980979,-99.21328063
"170","Bufetes jurídicos",19.43085973,-99.14230056
"171","Bufetes jurídicos",19.42757595,-99.19878764
"172","Bufetes jurídicos",19.42942583,-99.17736674
"173","Bufetes jurídicos",19.43459108,-99.14012311
"174","Bufetes jurídicos",19.38513397,-99.17545535
"175","Bufetes jurídicos",19.3850962,-99.18357933
"176","Bufetes jurídicos",19.42685465,-99.19451588
"177","Bufetes jurídicos",19.42694868,-99.16330814
"178","Bufetes jurídicos",19.40243266,-99.17032713
"179","Bufetes jurídicos",19.40847505,-99.17230043
"180","Bufetes jurídicos",19.43345973,-99.14596973
"181","Bufetes jurídicos",19.4302321,-99.18572767
"182","Bufetes jurídicos",19.40437927,-99.16746631
"183","Bufetes jurídicos",19.39702499,-99.13822638
"184","Bufetes jurídicos",19.43047512,-99.14813958
"185","Bufetes jurídicos",19.4328732,-99.18271051
"186","Bufetes jurídicos",19.37891476,-99.17257917
"187","Bufetes jurídicos",19.41261732,-99.18716684
"188","Bufetes jurídicos",19.37754161,-99.18598704
"189","Bufetes jurídicos",19.43188647,-99.20183893
"190","Bufetes jurídicos",19.40413223,-99.16726577
"191","Bufetes jurídicos",19.36879425,-99.17909362
"192","Bufetes jurídicos",19.42702833,-99.19576422
"193","Bufetes jurídicos",19.42451485,-99.20429757
"194","Bufetes jurídicos",19.4332605,-99.15724308
"195","Bufetes jurídicos",19.39743671,-99.17140783
"196","Bufetes jurídicos",19.43194681,-99.14225554
"197","Bufetes jurídicos",19.40068188,-99.16390823
"198","Bufetes jurídicos",19.40785062,-99.16946373
"199","Bufetes jurídicos",19.43013274,-99.1709185
"200","Bufetes jurídicos",19.42334204,-99.16749025
"201","Bufetes jurídicos",19.41673224,-99.1601317
"202","Bufetes jurídicos",19.38809772,-99.1740905
"203","Bufetes jurídicos",19.42876565,-99.17791921
"204","Bufetes jurídicos",19.41421874,-99.17392179
"205","Bufetes jurídicos",19.42909408,-99.16957697
"206","Bufetes jurídicos",19.42538274,-99.14683085
"207","Bufetes jurídicos",19.38447306,-99.18316007
"208","Bufetes jurídicos",19.43695999,-99.21293681
"209","Bufetes jurídicos",19.38333491,-99.15964319
"210","Bufetes jurídicos",19.42624573,-99.17475867
"211","Bufetes jurídicos",19.36947828,-99.17484049
"212","Bufetes jurídicos",19.3918531,-99.17326973
"213","Bufetes jurídicos",19.41298223,-99.16547096
"214","Bufetes jurídicos",19.43368925,-99.13777731
"215","Bufetes jurídicos",19.39469531,-99.17352978
"216","Bufetes jurídicos",19.42592096,-99.17086048
"217","Bufetes jurídicos",19.4063085,-99.1709134
"218","Bufetes jurídicos",19.37068028,-99.18639604
"219","Bufetes jurídicos",19.41150108,-99.16264685
"220","Bufetes jurídicos",19.40892094,-99.17367853
"221","Bufetes jurídicos",19.41180928,-99.16489746
"222","Bufetes jurídicos",19.40589876,-99.16973985
"223","Bufetes jurídicos",19.42628493,-99.1643731
"224","Bufetes jurídicos",19.3802181,-99.1806104
"225","Bufetes jurídicos",19.4277468,-99.19132854
"226","Bufetes jurídicos",19.40613722,-99.16447229
