"","Fecha_Retiro","viajes"
"1",2011-10-14,3
"2",2015-07-16,1
"3",2015-12-31,14
"4",2016-01-01,3668
"5",2016-01-02,7508
"6",2016-01-03,8981
"7",2016-01-04,19851
"8",2016-01-05,25803
"9",2016-01-06,25604
"10",2016-01-07,27938
"11",2016-01-08,26970
"12",2016-01-09,12248
"13",2016-01-10,10678
"14",2016-01-11,29588
"15",2016-01-12,30647
"16",2016-01-13,18040
"17",2016-01-14,29765
"18",2016-01-15,29630
"19",2016-01-16,11993
"20",2016-01-17,11473
"21",2016-01-18,30045
"22",2016-01-19,31354
"23",2016-01-20,31205
"24",2016-01-21,31068
"25",2016-01-22,29784
"26",2016-01-23,12982
"27",2016-01-24,11673
"28",2016-01-25,30425
"29",2016-01-26,31622
"30",2016-01-27,32138
"31",2016-01-28,27704
"32",2016-01-29,27464
"33",2016-01-30,11343
"34",2016-01-31,10148
"35",2016-02-01,10530
"36",2016-02-02,30578
"37",2016-02-03,32035
"38",2016-02-04,30892
"39",2016-02-05,30303
"40",2016-02-06,12749
"41",2016-02-07,11004
"42",2016-02-08,27722
"43",2016-02-09,27810
"44",2016-02-10,27309
"45",2016-02-11,28430
"46",2016-02-12,27841
"47",2016-02-13,12489
"48",2016-02-14,10104
"49",2016-02-15,28580
"50",2016-02-16,30651
"51",2016-02-17,30829
"52",2016-02-18,30903
"53",2016-02-19,29568
"54",2016-02-20,14688
"55",2016-02-21,11874
"56",2016-02-22,30392
"57",2016-02-23,32740
"58",2016-02-24,32569
"59",2016-02-25,31708
"60",2016-02-26,30108
"61",2016-02-27,12550
"62",2016-02-28,11720
"63",2016-02-29,30093
"64",2016-03-01,32017
"65",2016-03-02,24550
"66",2016-03-03,30860
"67",2016-03-04,29915
"68",2016-03-05,13473
"69",2016-03-06,12493
"70",2016-03-07,31453
"71",2016-03-08,30732
"72",2016-03-09,23550
"73",2016-03-10,26493
"74",2016-03-11,29548
"75",2016-03-12,13507
"76",2016-03-13,12144
"77",2016-03-14,31543
"78",2016-03-15,32422
"79",2016-03-16,31815
"80",2016-03-17,32012
"81",2016-03-18,30515
"82",2016-03-19,12562
"83",2016-03-20,10195
"84",2016-03-21,10034
"85",2016-03-22,24046
"86",2016-03-23,22815
"87",2016-03-24,11122
"88",2016-03-25,9145
"89",2016-03-26,11082
"90",2016-03-27,10798
"91",2016-03-28,28696
"92",2016-03-29,31334
"93",2016-03-30,30961
"94",2016-03-31,32018
"95",2016-04-01,29848
"96",2016-04-02,14115
"97",2016-04-03,12568
"98",2016-04-04,31926
"99",2016-04-05,35173
"100",2016-04-06,36711
"101",2016-04-07,34870
"102",2016-04-08,32490
"103",2016-04-09,13661
"104",2016-04-10,13107
"105",2016-04-11,34457
"106",2016-04-12,36127
"107",2016-04-13,35656
"108",2016-04-14,35302
"109",2016-04-15,33333
"110",2016-04-16,15724
"111",2016-04-17,12935
"112",2016-04-18,30008
"113",2016-04-19,30775
"114",2016-04-20,26920
"115",2016-04-21,31625
"116",2016-04-22,27285
"117",2016-04-23,14362
"118",2016-04-24,13337
"119",2016-04-25,33161
"120",2016-04-26,35072
"121",2016-04-27,35262
"122",2016-04-28,34688
"123",2016-04-29,32665
"124",2016-04-30,14552
"125",2016-05-01,11857
"126",2016-05-02,33359
"127",2016-05-03,35069
"128",2016-05-04,34931
"129",2016-05-05,32941
"130",2016-05-06,31621
"131",2016-05-07,14628
"132",2016-05-08,10433
"133",2016-05-09,32117
"134",2016-05-10,29081
"135",2016-05-11,28306
"136",2016-05-12,32809
"137",2016-05-13,33096
"138",2016-05-14,14507
"139",2016-05-15,9492
"140",2016-05-16,33163
"141",2016-05-17,31675
"142",2016-05-18,33923
"143",2016-05-19,34409
"144",2016-05-20,32191
"145",2016-05-21,15499
"146",2016-05-22,12701
"147",2016-05-23,30048
"148",2016-05-24,32550
"149",2016-05-25,33271
"150",2016-05-26,28032
"151",2016-05-27,30189
"152",2016-05-28,15070
"153",2016-05-29,11590
"154",2016-05-30,31403
"155",2016-05-31,33186
"156",2016-06-01,35280
"157",2016-06-02,29395
"158",2016-06-03,29886
"159",2016-06-04,13506
"160",2016-06-05,10959
"161",2016-06-06,32404
"162",2016-06-07,31603
"163",2016-06-08,33786
"164",2016-06-09,33376
"165",2016-06-10,30110
"166",2016-06-11,13117
"167",2016-06-12,11138
"168",2016-06-13,31800
"169",2016-06-14,34028
"170",2016-06-15,34804
"171",2016-06-16,33056
"172",2016-06-17,32587
"173",2016-06-18,13738
"174",2016-06-19,10545
"175",2016-06-20,24773
"176",2016-06-21,33098
"177",2016-06-22,32673
"178",2016-06-23,33223
"179",2016-06-24,31023
"180",2016-06-25,12117
"181",2016-06-26,9556
"182",2016-06-27,28105
"183",2016-06-28,32385
"184",2016-06-29,27299
"185",2016-06-30,29828
