,Fecha_Retiro,viajes
266,11/15/2014,12428
267,11/16/2014,10550
268,11/17/2014,10212
269,11/18/2014,28327
270,11/19/2014,28176
271,11/20/2014,28941
272,11/21/2014,25498
273,11/22/2014,12984
274,11/23/2014,11651
275,11/24/2014,27956
276,11/25/2014,29318
277,11/26/2014,28595
278,11/27/2014,26852
279,11/28/2014,26269
280,11/29/2014,12283
281,11/30/2014,11019
282,12/1/2014,27772
283,12/2/2014,28778
284,12/3/2014,28446
285,12/4/2014,27538
286,12/5/2014,26471
287,12/6/2014,13184
288,12/7/2014,10019
289,12/8/2014,25646
290,12/9/2014,26902
291,12/10/2014,27029
292,12/11/2014,26044
293,12/12/2014,21569
294,12/13/2014,11506
295,12/14/2014,9593
296,12/15/2014,25365
297,12/16/2014,26010
298,12/17/2014,25909
299,12/18/2014,24563
300,12/19/2014,23535
301,12/20/2014,10693
302,12/21/2014,9079
303,12/22/2014,19248
304,12/23/2014,18957
305,12/24/2014,4522
306,12/25/2014,2865
307,12/26/2014,12120
308,12/27/2014,7335
309,12/28/2014,7228
310,12/29/2014,15049
311,12/30/2014,15321
312,12/31/2014,9441
313,1/1/2015,3444
314,1/2/2015,11871
315,1/3/2015,8101
316,1/4/2015,8705
317,1/5/2015,18543
318,1/6/2015,19796
319,1/7/2015,22882
320,1/8/2015,22662
321,1/9/2015,22107
322,1/10/2015,11222
323,1/11/2015,10375
324,1/12/2015,24972
325,1/13/2015,25708
326,1/14/2015,27105
327,1/15/2015,27191
328,1/16/2015,26930
329,1/17/2015,12149
330,1/18/2015,10842
331,1/19/2015,26643
332,1/20/2015,28133
333,1/21/2015,28116
334,1/22/2015,28251
335,1/23/2015,26805
336,1/24/2015,12571
337,1/25/2015,10622
338,1/26/2015,27830
339,1/27/2015,28708
340,1/28/2015,28400
341,1/29/2015,27784
342,1/30/2015,25729
343,1/31/2015,11029
344,2/1/2015,8998
345,2/2/2015,8685
346,2/3/2015,26777
347,2/4/2015,28179
348,2/5/2015,27617
349,2/6/2015,26697
350,2/7/2015,12650
351,2/8/2015,11580
352,2/9/2015,26732
353,2/10/2015,28656
354,2/11/2015,24609
355,2/12/2015,24708
356,2/13/2015,25501
357,2/14/2015,12926
358,2/15/2015,10084
359,2/16/2015,27327
360,2/17/2015,30004
361,2/18/2015,31066
362,2/19/2015,30881
363,2/20/2015,30354
364,2/21/2015,14769
365,2/22/2015,12520
366,2/23/2015,30244
367,2/24/2015,32849
368,2/25/2015,32882
369,2/26/2015,32978
370,2/27/2015,31295
371,2/28/2015,15370
372,3/1/2015,13679
373,3/2/2015,31926
374,3/3/2015,34746
375,3/4/2015,34216
376,3/5/2015,33920
377,3/6/2015,31813
378,3/7/2015,16081
379,3/8/2015,14382
380,3/9/2015,32714
381,3/10/2015,33238
382,3/11/2015,28725
383,3/12/2015,32404
384,3/13/2015,31117
385,3/14/2015,12060
386,3/15/2015,9667
387,3/16/2015,12452
388,3/17/2015,33116
389,3/18/2015,35328
390,3/19/2015,33278
391,3/20/2015,33036
392,3/21/2015,19035
393,3/22/2015,14058
394,3/23/2015,30165
395,3/24/2015,32372
396,3/25/2015,34357
397,3/26/2015,34475
398,3/27/2015,29251
399,3/28/2015,12829
400,3/29/2015,11915
401,3/30/2015,29726
402,3/31/2015,30852
403,4/1/2015,23860
404,4/2/2015,11522
405,4/3/2015,10425
406,4/4/2015,10369
407,4/5/2015,12150
408,4/6/2015,30492
409,4/7/2015,33476
410,4/8/2015,33923
411,4/9/2015,33523
412,4/10/2015,32539
413,4/11/2015,14555
414,4/12/2015,14991
415,4/13/2015,34014
416,4/14/2015,36732
417,4/15/2015,35759
418,4/16/2015,35995
419,4/17/2015,32887
420,4/18/2015,17209
421,4/19/2015,15331
422,4/20/2015,34781
423,4/21/2015,36735
424,4/22/2015,35352
425,4/23/2015,35788
426,4/24/2015,34692
427,4/25/2015,16969
428,4/26/2015,14894
429,4/27/2015,34036
430,4/28/2015,36623
431,4/29/2015,30529
432,4/30/2015,32163
433,5/1/2015,13499
434,5/2/2015,11798
435,5/3/2015,12557
436,5/4/2015,25750
437,5/5/2015,29220
438,5/6/2015,32286
439,5/7/2015,33803
440,5/8/2015,30821
441,5/9/2015,16461
442,5/10/2015,11055
443,5/11/2015,30741
444,5/12/2015,23477
445,5/13/2015,28427
446,5/14/2015,31853
447,5/15/2015,31959
448,5/16/2015,14195
449,5/17/2015,13565
450,5/18/2015,33028
451,5/19/2015,33943
452,5/20/2015,32784
453,5/21/2015,34623
454,5/22/2015,28584
455,5/23/2015,16026
456,5/24/2015,13553
457,5/25/2015,28063
458,5/26/2015,35620
459,5/27/2015,30782
460,5/28/2015,28307
461,5/29/2015,28429
462,5/30/2015,12411
463,5/31/2015,12140
464,6/1/2015,33027
465,6/2/2015,34971
466,6/3/2015,35024
467,6/4/2015,31776
468,6/5/2015,31312
469,6/6/2015,11886
470,6/7/2015,13850
471,6/8/2015,33173
472,6/9/2015,35346
473,6/10/2015,35866
474,6/11/2015,34472
475,6/12/2015,29448
476,6/13/2015,14774
477,6/14/2015,13379
478,6/15/2015,31463
479,6/16/2015,34093
480,6/17/2015,29099
481,6/18/2015,27342
482,6/19/2015,31772
483,6/20/2015,14591
484,6/21/2015,11555
485,6/22/2015,30910
486,6/23/2015,34830
487,6/24/2015,34594
488,6/25/2015,32693
489,6/26/2015,27406
490,6/27/2015,15515
491,6/28/2015,10910
492,6/29/2015,29124
493,6/30/2015,26055
494,7/1/2015,31319
495,7/2/2015,26379
496,7/3/2015,29793
497,7/4/2015,12857
498,7/5/2015,12090
499,7/6/2015,29451
500,7/7/2015,33118
501,7/8/2015,31939
502,7/9/2015,30375
503,7/10/2015,31497
504,7/11/2015,14209
505,7/12/2015,13208
506,7/13/2015,31934
507,7/14/2015,33244
508,7/15/2015,33672
509,7/16/2015,31971
510,7/17/2015,30414
511,7/18/2015,12020
512,7/19/2015,11636
513,7/20/2015,30992
514,7/21/2015,30827
515,7/22/2015,29048
516,7/23/2015,26904
517,7/24/2015,26430
518,7/25/2015,14554
519,7/26/2015,13170
520,7/27/2015,29378
521,7/28/2015,31617
