,Fecha_Retiro,viajes
1,2/2/2010,1
2,2/7/2010,3
3,2/14/2010,1
4,2/16/2010,16
5,2/17/2010,20
6,2/18/2010,30
7,2/19/2010,65
8,2/20/2010,57
9,2/21/2010,96
10,2/22/2010,94
11,2/23/2010,107
12,2/24/2010,118
13,2/25/2010,119
14,2/26/2010,142
15,2/27/2010,74
16,2/28/2010,118
17,3/1/2010,161
18,3/2/2010,197
19,3/3/2010,274
20,3/4/2010,388
21,3/5/2010,411
22,3/6/2010,266
23,3/7/2010,280
24,3/8/2010,492
25,3/9/2010,572
26,3/10/2010,552
27,3/11/2010,623
28,3/12/2010,637
29,3/13/2010,439
30,3/14/2010,469
31,3/15/2010,320
32,3/16/2010,661
33,3/17/2010,747
34,3/18/2010,741
35,3/19/2010,1027
36,3/20/2010,569
37,3/21/2010,667
38,3/22/2010,1072
39,3/23/2010,616
40,3/24/2010,858
41,3/25/2010,1296
42,3/26/2010,1328
43,3/27/2010,910
44,3/28/2010,883
45,3/29/2010,1113
46,3/30/2010,1257
47,3/31/2010,1205
48,4/1/2010,627
49,4/2/2010,574
50,4/3/2010,580
51,4/4/2010,755
52,4/5/2010,1357
53,4/6/2010,1348
54,4/7/2010,1464
55,4/8/2010,1404
56,4/9/2010,1432
57,4/10/2010,957
58,4/11/2010,1173
59,4/12/2010,1436
60,4/13/2010,1692
61,4/14/2010,1714
62,4/15/2010,1617
63,4/16/2010,1565
64,4/17/2010,799
65,4/18/2010,1251
66,4/19/2010,1752
67,4/20/2010,1980
68,4/21/2010,1983
69,4/22/2010,2046
70,4/23/2010,2005
71,4/24/2010,1225
72,4/25/2010,1356
73,4/26/2010,2098
74,4/27/2010,2220
75,4/28/2010,2218
76,4/29/2010,2103
77,4/30/2010,2257
78,5/1/2010,1198
79,5/2/2010,1293
80,5/3/2010,2070
81,5/4/2010,2344
82,5/5/2010,2196
83,5/6/2010,2235
84,5/7/2010,2038
85,5/8/2010,1342
86,5/9/2010,1180
87,5/10/2010,1985
88,5/11/2010,2231
89,5/12/2010,2290
90,5/13/2010,2205
91,5/14/2010,2065
92,5/15/2010,1038
93,5/16/2010,1008
94,5/17/2010,2384
95,5/18/2010,2345
96,5/19/2010,2443
97,5/20/2010,2415
98,5/21/2010,2444
99,5/22/2010,1395
100,5/23/2010,1395
101,5/24/2010,2468
102,5/25/2010,1348
103,5/26/2010,2194
104,5/27/2010,2468
105,5/28/2010,2153
106,5/29/2010,1518
107,5/30/2010,1592
108,5/31/2010,2531
109,6/1/2010,2703
110,6/2/2010,2561
111,6/3/2010,2537
112,6/4/2010,2443
113,6/5/2010,1439
114,6/6/2010,1636
115,6/7/2010,2545
116,6/8/2010,2389
117,6/9/2010,2739
118,6/10/2010,2575
119,6/11/2010,2190
120,6/12/2010,1518
121,6/13/2010,1434
122,6/14/2010,2395
123,6/15/2010,2537
124,6/16/2010,1704
125,6/17/2010,2472
126,6/18/2010,2428
127,6/19/2010,1219
128,6/20/2010,1299
129,6/21/2010,2103
130,6/22/2010,2539
131,6/23/2010,2155
132,6/24/2010,2335
133,6/25/2010,2559
134,6/26/2010,1458
135,6/27/2010,1315
136,6/28/2010,2621
137,6/29/2010,2479
138,6/30/2010,2377
139,7/1/2010,2034
140,7/2/2010,1577
141,7/3/2010,1209
142,7/4/2010,1297
143,7/5/2010,2051
144,7/6/2010,1640
145,7/7/2010,1996
146,7/8/2010,2109
147,7/9/2010,1542
148,7/10/2010,970
149,7/11/2010,1294
150,7/12/2010,2354
151,7/13/2010,2889
152,7/14/2010,2738
153,7/15/2010,2675
154,7/16/2010,2675
155,7/17/2010,1333
156,7/18/2010,1184
157,7/19/2010,2511
158,7/20/2010,1938
159,7/21/2010,2695
160,7/22/2010,1729
161,7/23/2010,1613
162,7/24/2010,565
163,7/25/2010,934
164,7/26/2010,2389
165,7/27/2010,2734
166,7/28/2010,1900
167,7/29/2010,2561
168,7/30/2010,2479
169,7/31/2010,1172
170,8/1/2010,1497
171,8/2/2010,2636
172,8/3/2010,2881
173,8/4/2010,2754
174,8/5/2010,2910
175,8/6/2010,2736
176,8/7/2010,1267
177,8/8/2010,1460
178,8/9/2010,2615
179,8/10/2010,3050
180,8/11/2010,2491
181,8/12/2010,2802
182,8/13/2010,2464
183,8/14/2010,1698
184,8/15/2010,1574
185,8/16/2010,3156
186,8/17/2010,3214
187,8/18/2010,2969
188,8/19/2010,3039
189,8/20/2010,3299
190,8/21/2010,1563
191,8/22/2010,1955
192,8/23/2010,3458
193,8/24/2010,3581
194,8/25/2010,3117
195,8/26/2010,3678
196,8/27/2010,3526
197,8/28/2010,1959
198,8/29/2010,2053
199,8/30/2010,3776
200,8/31/2010,3125
201,9/1/2010,3747
202,9/2/2010,3365
203,9/3/2010,3953
204,9/4/2010,1889
205,9/5/2010,1055
206,9/6/2010,3093
207,9/7/2010,3929
208,9/8/2010,4349
209,9/9/2010,3912
210,9/10/2010,4227
211,9/11/2010,2507
212,9/12/2010,2539
213,9/13/2010,4306
214,9/14/2010,3444
215,9/15/2010,2785
216,9/16/2010,1737
217,9/17/2010,1739
218,9/18/2010,1849
219,9/19/2010,2356
220,9/20/2010,4141
221,9/21/2010,4199
222,9/22/2010,3988
223,9/23/2010,4103
224,9/24/2010,3502
225,9/25/2010,2313
226,9/26/2010,2730
227,9/27/2010,4377
228,9/28/2010,4567
229,9/29/2010,4694
230,9/30/2010,4773
231,10/1/2010,4585
232,10/2/2010,2568
233,10/3/2010,2585
234,10/4/2010,4475
235,10/5/2010,4797
236,10/6/2010,4675
237,10/7/2010,4601
238,10/8/2010,5543
239,10/9/2010,2652
240,10/10/2010,2459
241,10/11/2010,4664
242,10/12/2010,5071
243,10/13/2010,5086
244,10/14/2010,4767
245,10/15/2010,4824
246,10/16/2010,2658
247,10/17/2010,2873
248,10/18/2010,4903
249,10/19/2010,5344
250,10/20/2010,5322
251,10/21/2010,5248
252,10/22/2010,5036
253,10/23/2010,2985
254,10/24/2010,3138
255,10/25/2010,5182
256,10/26/2010,5395
257,10/27/2010,5554
258,10/28/2010,5390
259,10/29/2010,4706
260,10/30/2010,2647
261,10/31/2010,2561
262,11/1/2010,4353
263,11/2/2010,3702
264,11/3/2010,4981
265,11/4/2010,4939
266,11/5/2010,4684
267,11/6/2010,2474
268,11/7/2010,2536
269,11/8/2010,4635
270,11/9/2010,4984
271,11/10/2010,5080
272,11/11/2010,5172
273,11/12/2010,5096
274,11/13/2010,2261
275,11/14/2010,2538
276,11/15/2010,2731
277,11/16/2010,4817
278,11/17/2010,5498
279,11/18/2010,5026
280,11/19/2010,5297
281,11/20/2010,3008
282,11/21/2010,3165
283,11/22/2010,5397
284,11/23/2010,5801
285,11/24/2010,5951
286,11/25/2010,5781
287,11/26/2010,5577
288,11/27/2010,3389
289,11/28/2010,3258
290,11/29/2010,5767
291,11/30/2010,6197
292,12/1/2010,6469
293,12/2/2010,5800
294,12/3/2010,5721
295,12/4/2010,3034
296,12/5/2010,3211
297,12/6/2010,5515
298,12/7/2010,5444
299,12/8/2010,6041
300,12/9/2010,5732
301,12/10/2010,5654
302,12/11/2010,3118
303,12/12/2010,3151
304,12/13/2010,5623
305,12/14/2010,6042
306,12/15/2010,6382
307,12/16/2010,6283
308,12/17/2010,6065
309,12/18/2010,3022
310,12/19/2010,2898
311,12/20/2010,5664
312,12/21/2010,5804
313,12/22/2010,5563
314,12/23/2010,4915
315,12/24/2010,3046
316,12/25/2010,1092
317,12/26/2010,2225
318,12/27/2010,4007
319,12/28/2010,3988
320,12/29/2010,3989
321,12/30/2010,3874
322,12/31/2010,2467
